Attendance_ID,Employee_ID,Month,Department,Working_Days,Present_Days,Absent_Days,Casual_Leave,Sick_Leave,Earned_Leave,Festival_Holiday_Worked,Late_Days,Scheduled_Hours,Actual_Hours,Overtime_Hours,Max_Daily_Hours,Max_Weekly_Hours,Weekly_Rest_Breach,Leave_Balance,Attendance_Rate,Hours_Compliant
ATT-202601-EMP0109,EMP0109,2026-01-01,Quality Assurance,26,22,4,0,0,0,0,2,208,176,0.1,10.5,48,No,8,84.62,No
ATT-202601-EMP0110,EMP0110,2026-01-01,Sales & Marketing,26,26,0,0,0,0,0,1,208,208,0,8.0,52,No,14,100.0,Yes
ATT-202601-EMP0111,EMP0111,2026-01-01,Human Resources,26,25,0,0,0,1,0,3,208,204,4.3,10.0,48,No,33,96.15,Yes
ATT-202601-EMP0112,EMP0112,2026-01-01,Production,26,24,1,0,1,0,0,2,208,203,11.9,9.0,58,No,13,92.31,Yes
ATT-202601-EMP0113,EMP0113,2026-01-01,Maintenance,26,21,2,1,1,1,0,4,208,176,8.8,10.0,52,No,13,80.77,Yes
ATT-202601-EMP0114,EMP0114,2026-01-01,Finance & Accounts,26,25,0,1,0,0,0,2,208,201,1.1,12.0,60,No,28,96.15,No
ATT-202601-EMP0115,EMP0115,2026-01-01,Production,26,24,2,0,0,0,0,1,208,218,26.5,11.0,56,No,6,92.31,No
ATT-202601-EMP0116,EMP0116,2026-01-01,Production,26,24,2,0,0,0,0,1,208,201,9.0,10.0,60,No,2,92.31,Yes
ATT-202601-EMP0117,EMP0117,2026-01-01,Supply Chain,14,13,1,0,0,0,0,0,114,104,0.1,9.0,48,No,12,92.86,Yes
ATT-202601-EMP0118,EMP0118,2026-01-01,Supply Chain,26,24,2,0,0,0,0,5,208,194,2.2,9.0,60,No,6,92.31,Yes
ATT-202601-EMP0119,EMP0119,2026-01-01,Human Resources,26,24,1,1,0,0,0,3,208,195,3.7,8.0,52,No,29,92.31,Yes
ATT-202601-EMP0120,EMP0120,2026-01-01,Production,26,21,3,2,0,0,0,2,208,172,4.3,8.0,60,No,4,80.77,Yes
ATT-202602-EMP0001,EMP0001,2026-02-01,Quality Assurance,26,26,0,0,0,0,0,1,208,209,1.7,9.0,62,No,28,100.0,No
ATT-202602-EMP0002,EMP0002,2026-02-01,Maintenance,26,25,0,1,0,0,0,1,208,219,19.2,12.0,52,No,23,96.15,No
ATT-202602-EMP0003,EMP0003,2026-02-01,Production,26,24,0,1,0,1,0,1,208,195,3.7,10.5,52,No,19,92.31,No
ATT-202602-EMP0004,EMP0004,2026-02-01,Supply Chain,26,25,1,0,0,0,0,1,208,207,7.8,8.0,48,No,35,96.15,Yes
ATT-202602-EMP0005,EMP0005,2026-02-01,Human Resources,26,25,1,0,0,0,0,1,208,208,8.6,9.0,58,No,12,96.15,Yes
ATT-202602-EMP0006,EMP0006,2026-02-01,Production,26,19,4,0,1,2,0,0,208,153,1.9,10.0,60,No,30,73.08,Yes
ATT-202602-EMP0007,EMP0007,2026-02-01,Production,26,23,2,1,0,0,0,1,208,190,6.9,10.0,58,No,21,88.46,Yes
ATT-202602-EMP0008,EMP0008,2026-02-01,Sales & Marketing,26,25,0,1,0,0,0,0,208,209,9.3,10.0,56,No,13,96.15,Yes
ATT-202602-EMP0009,EMP0009,2026-02-01,Information Technology,26,25,1,0,0,0,0,0,208,202,2.9,9.0,60,No,26,96.15,Yes
ATT-202602-EMP0010,EMP0010,2026-02-01,Sales & Marketing,26,20,1,2,0,3,0,3,208,170,10.0,10.0,52,No,3,76.92,Yes
ATT-202602-EMP0011,EMP0011,2026-02-01,Human Resources,26,24,0,1,0,1,0,2,208,197,5.7,9.0,48,Yes,2,92.31,No
ATT-202602-EMP0012,EMP0012,2026-02-01,Quality Assurance,26,25,1,0,0,0,1,1,208,201,1.9,10.0,56,Yes,11,96.15,No
ATT-202602-EMP0013,EMP0013,2026-02-01,Maintenance,26,24,2,0,0,0,0,1,208,210,18.2,9.0,52,No,3,92.31,Yes
ATT-202602-EMP0014,EMP0014,2026-02-01,Maintenance,26,24,1,0,0,1,0,0,208,210,18.1,9.0,60,No,11,92.31,Yes
ATT-202602-EMP0015,EMP0015,2026-02-01,Maintenance,26,25,1,0,0,0,0,0,208,220,20.0,11.0,48,No,35,96.15,No
ATT-202602-EMP0016,EMP0016,2026-02-01,Finance & Accounts,26,25,0,0,1,0,0,4,208,200,0,9.0,56,No,30,96.15,Yes
ATT-202602-EMP0017,EMP0017,2026-02-01,Production,26,25,0,1,0,0,0,1,208,219,19.0,9.0,56,No,24,96.15,Yes
ATT-202602-EMP0018,EMP0018,2026-02-01,Administration,26,26,0,0,0,0,0,0,208,210,2.0,10.0,65,No,23,100.0,No
ATT-202602-EMP0019,EMP0019,2026-02-01,Maintenance,26,18,3,2,0,3,0,0,208,154,10.0,10.0,52,No,3,69.23,Yes
ATT-202602-EMP0020,EMP0020,2026-02-01,Sales & Marketing,26,25,0,1,0,0,0,3,208,204,4.6,10.0,52,No,24,96.15,Yes
ATT-202602-EMP0021,EMP0021,2026-02-01,Quality Assurance,26,21,3,0,0,2,0,0,208,192,24.7,10.5,56,No,3,80.77,No
ATT-202602-EMP0022,EMP0022,2026-02-01,Sales & Marketing,26,23,1,0,0,2,0,3,208,193,9.1,9.0,58,No,2,88.46,Yes
ATT-202602-EMP0023,EMP0023,2026-02-01,Quality Assurance,26,24,0,2,0,0,0,1,208,197,5.5,10.0,60,Yes,24,92.31,No
ATT-202602-EMP0024,EMP0024,2026-02-01,Supply Chain,26,25,1,0,0,0,0,2,208,218,18.0,9.0,56,No,35,96.15,Yes
ATT-202602-EMP0025,EMP0025,2026-02-01,Supply Chain,26,25,1,0,0,0,0,1,208,218,18.3,9.0,58,No,23,96.15,Yes
ATT-202602-EMP0026,EMP0026,2026-02-01,Administration,26,25,0,0,0,1,0,1,208,204,4.8,10.5,48,No,14,96.15,No
ATT-202602-EMP0027,EMP0027,2026-02-01,Production,26,25,0,1,0,0,0,2,208,218,18.0,10.0,52,No,27,96.15,Yes
ATT-202602-EMP0028,EMP0028,2026-02-01,Production,26,24,1,0,0,1,0,3,208,219,27.2,9.0,52,No,14,92.31,Yes
ATT-202602-EMP0029,EMP0029,2026-02-01,Information Technology,26,25,0,1,0,0,1,2,208,201,1.7,9.0,65,No,27,96.15,No
ATT-202602-EMP0030,EMP0030,2026-02-01,Information Technology,26,24,1,1,0,0,0,3,208,208,16.2,10.0,56,No,24,92.31,Yes
ATT-202602-EMP0031,EMP0031,2026-02-01,Administration,26,25,1,0,0,0,0,5,208,214,14.4,10.0,56,No,4,96.15,Yes
ATT-202602-EMP0032,EMP0032,2026-02-01,Production,26,26,0,0,0,0,0,1,208,221,13.0,12.0,48,No,14,100.0,No
ATT-202602-EMP0033,EMP0033,2026-02-01,Sales & Marketing,26,24,0,1,1,0,0,0,208,204,12.4,9.0,58,No,35,92.31,Yes
ATT-202602-EMP0034,EMP0034,2026-02-01,Production,26,26,0,0,0,0,0,3,208,225,17.4,12.0,56,No,19,100.0,No
ATT-202602-EMP0035,EMP0035,2026-02-01,Production,26,26,0,0,0,0,0,2,208,208,0,9.0,56,No,17,100.0,Yes
ATT-202602-EMP0036,EMP0036,2026-02-01,Administration,26,25,1,0,0,0,0,1,208,200,0,12.0,62,No,26,96.15,No
ATT-202602-EMP0037,EMP0037,2026-02-01,Production,26,23,2,1,0,0,0,0,208,210,26.3,11.0,48,No,17,88.46,No
ATT-202602-EMP0038,EMP0038,2026-02-01,Human Resources,26,25,0,0,1,0,0,1,208,215,15.8,10.0,52,No,6,96.15,Yes
ATT-202602-EMP0039,EMP0039,2026-02-01,Administration,26,26,0,0,0,0,0,0,208,211,3.8,9.0,56,No,4,100.0,Yes
ATT-202602-EMP0040,EMP0040,2026-02-01,Sales & Marketing,26,24,0,2,0,0,0,2,208,198,6.0,10.0,62,Yes,32,92.31,No
ATT-202602-EMP0041,EMP0041,2026-02-01,Human Resources,26,26,0,0,0,0,0,4,208,227,19.3,8.0,48,No,32,100.0,Yes
ATT-202602-EMP0042,EMP0042,2026-02-01,Information Technology,26,22,2,0,1,1,0,1,208,176,0,10.5,52,No,28,84.62,No
ATT-202602-EMP0043,EMP0043,2026-02-01,Sales & Marketing,26,25,1,0,0,0,0,1,208,223,23.5,9.0,56,No,23,96.15,Yes
ATT-202602-EMP0044,EMP0044,2026-02-01,Sales & Marketing,26,22,2,1,1,0,0,4,208,182,6.1,10.5,56,No,19,84.62,No
ATT-202602-EMP0045,EMP0045,2026-02-01,Production,26,22,0,0,2,2,0,4,208,194,18.4,10.5,56,No,20,84.62,No
ATT-202602-EMP0046,EMP0046,2026-02-01,Production,26,24,1,0,1,0,0,2,208,208,16.8,8.0,52,No,23,92.31,Yes
ATT-202602-EMP0047,EMP0047,2026-02-01,Quality Assurance,26,22,3,0,0,1,0,2,208,185,9.3,8.0,60,No,35,84.62,Yes
ATT-202602-EMP0048,EMP0048,2026-02-01,Finance & Accounts,26,23,1,2,0,0,0,3,208,201,17.0,10.5,48,No,19,88.46,No
ATT-202602-EMP0049,EMP0049,2026-02-01,Supply Chain,26,21,3,0,0,2,0,3,208,170,2.6,11.0,56,No,22,80.77,No
ATT-202602-EMP0050,EMP0050,2026-02-01,Production,26,23,2,0,1,0,0,5,208,201,17.4,10.0,62,No,22,88.46,No
ATT-202602-EMP0051,EMP0051,2026-02-01,Sales & Marketing,26,23,1,0,2,0,0,0,208,186,2.4,9.0,52,No,12,88.46,Yes
ATT-202602-EMP0052,EMP0052,2026-02-01,Information Technology,26,24,0,1,0,1,0,4,208,197,5.3,12.0,56,No,6,92.31,No
ATT-202602-EMP0053,EMP0053,2026-02-01,Production,26,23,0,0,1,2,0,4,208,202,18.1,9.0,56,No,15,88.46,Yes
ATT-202602-EMP0054,EMP0054,2026-02-01,Administration,26,21,2,1,2,0,0,3,208,178,10.6,9.0,58,No,6,80.77,Yes
ATT-202602-EMP0055,EMP0055,2026-02-01,Human Resources,26,24,0,0,2,0,0,4,208,199,7.3,12.0,56,No,26,92.31,No
ATT-202602-EMP0056,EMP0056,2026-02-01,Finance & Accounts,26,25,0,1,0,0,0,3,208,203,3.5,8.0,52,No,22,96.15,Yes
ATT-202602-EMP0057,EMP0057,2026-02-01,Administration,26,26,0,0,0,0,0,1,208,212,4.9,10.0,56,No,33,100.0,Yes
ATT-202602-EMP0058,EMP0058,2026-02-01,Supply Chain,26,22,3,1,0,0,0,3,208,179,3.1,8.0,56,No,30,84.62,Yes
ATT-202602-EMP0059,EMP0059,2026-02-01,Production,26,22,3,1,0,0,0,2,208,193,17.4,11.0,48,No,11,84.62,No
ATT-202602-EMP0060,EMP0060,2026-02-01,Production,26,24,0,0,1,1,0,1,208,216,24.1,9.0,56,No,3,92.31,Yes
ATT-202602-EMP0061,EMP0061,2026-02-01,Production,26,26,0,0,0,0,0,3,208,216,8.3,10.0,56,No,9,100.0,Yes
ATT-202602-EMP0062,EMP0062,2026-02-01,Human Resources,26,24,2,0,0,0,0,1,208,198,6.8,9.0,52,No,18,92.31,Yes
ATT-202602-EMP0063,EMP0063,2026-02-01,Supply Chain,26,26,0,0,0,0,0,2,208,208,0,8.0,48,No,20,100.0,Yes
ATT-202602-EMP0064,EMP0064,2026-02-01,Maintenance,26,23,1,2,0,0,0,4,208,190,6.0,9.0,62,No,17,88.46,No
ATT-202602-EMP0065,EMP0065,2026-02-01,Maintenance,26,23,0,0,0,3,0,1,208,205,21.5,10.0,52,No,24,88.46,Yes
ATT-202602-EMP0066,EMP0066,2026-02-01,Finance & Accounts,26,25,0,0,1,0,0,0,208,210,10.1,9.0,58,No,28,96.15,Yes
