Employee_ID,Department,PF_Eligible,PF_Enrolled,Insurance_Eligible,Insurance_Enrolled,Gratuity_Eligible,Festival_Bonus_Eligible,Medical_Benefit,Transport_Benefit,Meal_Benefit,Benefit_Cost_Monthly,Enrollment_Compliance
EMP0056,Finance & Accounts,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,8390.0,Compliant
EMP0057,Administration,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,9070.0,Compliant
EMP0058,Supply Chain,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5910.0,Compliant
EMP0059,Production,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,5860.0,Exception
EMP0060,Production,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,6350,Compliant
EMP0061,Production,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,4350,Compliant
EMP0062,Human Resources,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10110.0,Compliant
EMP0063,Supply Chain,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,6110.0,Compliant
EMP0064,Maintenance,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10390.0,Compliant
EMP0065,Maintenance,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4350,Exception
EMP0066,Finance & Accounts,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5630.0,Compliant
EMP0067,Administration,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,8790.0,Compliant
EMP0068,Information Technology,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10030.0,Compliant
EMP0069,Quality Assurance,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,13150.0,Compliant
EMP0070,Production,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,5700,Exception
EMP0071,Production,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,6510.0,Compliant
EMP0072,Information Technology,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,6190.0,Compliant
EMP0073,Quality Assurance,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,11670.0,Compliant
EMP0074,Production,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,6430.0,Compliant
EMP0075,Information Technology,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5590.0,Compliant
EMP0076,Production,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5830.0,Compliant
EMP0077,Supply Chain,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5670.0,Compliant
EMP0078,Finance & Accounts,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,8710.0,Compliant
EMP0079,Maintenance,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,5020.0,Exception
EMP0080,Supply Chain,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,16870.0,Compliant
EMP0081,Finance & Accounts,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,5060.0,Exception
EMP0082,Sales & Marketing,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,13670.0,Compliant
EMP0083,Information Technology,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,9660.0,Exception
EMP0084,Human Resources,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,9710.0,Compliant
EMP0085,Supply Chain,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,11630.0,Compliant
EMP0086,Quality Assurance,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,6270.0,Compliant
EMP0087,Sales & Marketing,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5550.0,Compliant
EMP0088,Human Resources,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,8550.0,Compliant
EMP0089,Finance & Accounts,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5750.0,Compliant
EMP0090,Production,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,5060.0,Exception
EMP0091,Quality Assurance,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,8820.0,Exception
EMP0092,Quality Assurance,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,9550.0,Compliant
EMP0093,Finance & Accounts,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5150.0,Compliant
EMP0094,Human Resources,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,9150.0,Compliant
EMP0095,Production,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4350,Exception
EMP0096,Administration,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,8870.0,Compliant
EMP0097,Finance & Accounts,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10270.0,Compliant
EMP0098,Quality Assurance,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,9830.0,Compliant
EMP0099,Information Technology,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,17630.0,Compliant
EMP0100,Information Technology,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,8590.0,Compliant
EMP0101,Administration,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,9870.0,Compliant
EMP0102,Finance & Accounts,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,9750.0,Compliant
EMP0103,Administration,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5190.0,Compliant
EMP0104,Information Technology,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,8270.0,Compliant
EMP0105,Administration,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5590.0,Compliant
EMP0106,Human Resources,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,15790.0,Compliant
EMP0107,Supply Chain,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5190.0,Compliant
EMP0108,Production,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,8910.0,Compliant
EMP0109,Quality Assurance,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,16270.0,Compliant
EMP0110,Sales & Marketing,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10790.0,Compliant
EMP0111,Human Resources,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,8790.0,Compliant
EMP0112,Production,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5750.0,Compliant
EMP0113,Maintenance,No,No,No,No,Yes,No,Yes,Yes,Yes,5700,Compliant
EMP0114,Finance & Accounts,No,No,No,No,Yes,No,Yes,Yes,Yes,3300,Compliant
EMP0115,Production,No,No,No,No,Yes,No,Yes,Yes,Yes,3700,Compliant
EMP0116,Production,No,No,No,No,Yes,No,Yes,Yes,Yes,3700,Compliant
EMP0117,Supply Chain,No,No,No,No,Yes,No,Yes,Yes,Yes,5300,Compliant
EMP0118,Supply Chain,No,No,No,No,No,No,Yes,Yes,Yes,5300,Compliant
EMP0119,Human Resources,No,No,No,No,Yes,No,Yes,Yes,Yes,5300,Compliant
EMP0120,Production,No,No,No,No,Yes,No,Yes,Yes,Yes,3700,Compliant
