Table,Field,Data_Type,BI_Role,Description,Law_or_Compliance_Relevance,Suggested_Relationship
payroll_monthly,Configured_Wage_Floor_Compliant,Text,Dimension,Configured Wage Floor Compliant,Labour Act ss.138-140,
payroll_monthly,OT_Rate_Compliant,Text,Dimension,OT Rate Compliant,Labour Act s.108,
attendance_leave_monthly,Attendance_ID,Text,Key,Attendance ID,,Primary key
attendance_leave_monthly,Employee_ID,Text,Dimension,Employee ID,,Employee_ID -> employees.Employee_ID
attendance_leave_monthly,Month,Date,Date,Month,,
attendance_leave_monthly,Department,Text,Dimension,Department,,
attendance_leave_monthly,Working_Days,Number,Measure,Working Days,,
attendance_leave_monthly,Present_Days,Number,Measure,Present Days,,
attendance_leave_monthly,Absent_Days,Number,Measure,Absent Days,,
attendance_leave_monthly,Casual_Leave,Number,Measure,Casual Leave,Labour Act s.115,
attendance_leave_monthly,Sick_Leave,Number,Measure,Sick Leave,Labour Act s.116,
attendance_leave_monthly,Earned_Leave,Number,Measure,Earned Leave,Labour Act s.117,
attendance_leave_monthly,Festival_Holiday_Worked,Number,Measure,Festival Holiday Worked,Labour Act s.118,
attendance_leave_monthly,Late_Days,Number,Measure,Late Days,,
attendance_leave_monthly,Scheduled_Hours,Number,Measure,Scheduled Hours,,
attendance_leave_monthly,Actual_Hours,Number,Measure,Actual Hours,,
attendance_leave_monthly,Overtime_Hours,Number,Measure,Overtime Hours,,
attendance_leave_monthly,Max_Daily_Hours,Number,Measure,Max Daily Hours,,
attendance_leave_monthly,Max_Weekly_Hours,Number,Measure,Max Weekly Hours,,
attendance_leave_monthly,Weekly_Rest_Breach,Text,Dimension,Weekly Rest Breach,,
attendance_leave_monthly,Leave_Balance,Number,Measure,Leave Balance,,
attendance_leave_monthly,Attendance_Rate,Number,Measure,Attendance Rate,,
attendance_leave_monthly,Hours_Compliant,Text,Dimension,Hours Compliant,Labour Act ss.100-103,
benefits_enrollment,Employee_ID,Text,Key,Employee ID,,Employee_ID -> employees.Employee_ID
benefits_enrollment,Department,Text,Dimension,Department,,
benefits_enrollment,PF_Eligible,Text,Dimension,PF Eligible,,
benefits_enrollment,PF_Enrolled,Text,Dimension,PF Enrolled,,
benefits_enrollment,Insurance_Eligible,Text,Dimension,Insurance Eligible,,
benefits_enrollment,Insurance_Enrolled,Text,Dimension,Insurance Enrolled,,
benefits_enrollment,Gratuity_Eligible,Text,Dimension,Gratuity Eligible,,
benefits_enrollment,Festival_Bonus_Eligible,Text,Dimension,Festival Bonus Eligible,,
benefits_enrollment,Medical_Benefit,Text,Dimension,Medical Benefit,,
benefits_enrollment,Transport_Benefit,Text,Dimension,Transport Benefit,,
benefits_enrollment,Meal_Benefit,Text,Dimension,Meal Benefit,,
benefits_enrollment,Benefit_Cost_Monthly,Number,Measure,Benefit Cost Monthly,,
benefits_enrollment,Enrollment_Compliance,Text,Dimension,Enrollment Compliance,,
leave_entitlement,Employee_ID,Text,Key,Employee ID,,Employee_ID -> employees.Employee_ID
leave_entitlement,Department,Text,Dimension,Department,,
leave_entitlement,Casual_Entitlement_Annual,Number,Measure,Casual Entitlement Annual,,
leave_entitlement,Casual_Used_YTD,Number,Measure,Casual Used YTD,,
leave_entitlement,Sick_Entitlement_Annual,Number,Measure,Sick Entitlement Annual,,
leave_entitlement,Sick_Used_YTD,Number,Measure,Sick Used YTD,,
leave_entitlement,Earned_Leave_Entitlement_Demo,Number,Measure,Earned Leave Entitlement Demo,,
leave_entitlement,Earned_Leave_Used_YTD,Number,Measure,Earned Leave Used YTD,,
leave_entitlement,Festival_Holiday_Entitlement,Number,Measure,Festival Holiday Entitlement,,
leave_entitlement,Festival_Holidays_Worked_YTD,Number,Measure,Festival Holidays Worked YTD,,
leave_entitlement,Maternity_Entitlement_Days,Number,Measure,Maternity Entitlement Days,,
leave_entitlement,Leave_Record_Compliance,Text,Dimension,Leave Record Compliance,,
compliance_register,Record_ID,Text,Key,Record ID,,Primary key
compliance_register,Employee_ID,Text,Dimension,Employee ID,,Employee_ID -> employees.Employee_ID
compliance_register,Month,Date,Date,Month,,
compliance_register,Department,Text,Dimension,Department,,
compliance_register,Compliance_Area,Text,Dimension,Compliance Area,,
compliance_register,Requirement,Text,Dimension,Requirement,,
compliance_register,Legal_Reference,Text,Dimension,Legal Reference,,
compliance_register,Actual,Text,Dimension,Actual,,
compliance_register,Status,Text,Dimension,Status,,
compliance_register,Risk_Level,Text,Dimension,Risk Level,,
compliance_register,Owner,Text,Dimension,Owner,,
compliance_register,Action_Due_Date,Date,Date,Action Due Date,,
compliance_register,Closure_Status,Text,Dimension,Closure Status,,
compliance_register,Source_URL,Text,Dimension,Source URL,,
law_reference,Law_ID,Text,Key,Law ID,,Primary key
law_reference,Law_or_Rule,Text,Dimension,Law or Rule,,
law_reference,Section_or_Topic,Text,Dimension,Section or Topic,,
law_reference,Dashboard_Control,Text,Dimension,Dashboard Control,,
law_reference,Key_Requirement,Text,Dimension,Key Requirement,,
law_reference,Applicability,Text,Dimension,Applicability,,
law_reference,Source_URL,Text,Dimension,Source URL,,
law_reference,Verification_Note,Text,Dimension,Verification Note,,
